Ano,Trimestre,Mês,Dia,SKU,Código Cliente,Loja,Quantidade Vendida
2016,Trim 1,janeiro,8,HL1001,259,Rio de Janeiro,4
2016,Trim 1,janeiro,8,HL1002,561,Guarulhos,2
2016,Trim 1,janeiro,8,HL1002,303,São Paulo,1
2016,Trim 1,janeiro,8,HL1003,547,Recife,3
2016,Trim 1,janeiro,8,HL1006,698,São Paulo,4
2016,Trim 1,janeiro,8,HL1007,1345,Curitiba,7
2016,Trim 1,janeiro,8,HL1008,145,São Paulo,5
2016,Trim 1,janeiro,8,HL1009,120,Campinas,5
2016,Trim 1,janeiro,8,HL1015,367,Curitiba,2
2016,Trim 1,janeiro,8,HL1016,115,Porto Alegre,3
2016,Trim 1,janeiro,8,HL1018,804,Rio de Janeiro,1
2016,Trim 1,janeiro,8,HL1021,814,Recife,3
2016,Trim 1,janeiro,9,HL1001,291,Goiânia,4
2016,Trim 1,janeiro,9,HL1001,467,Guarulhos,4
2016,Trim 1,janeiro,9,HL1001,794,Porto Alegre,5
2016,Trim 1,janeiro,9,HL1001,670,São Paulo,2
2016,Trim 1,janeiro,9,HL1005,92,Rio de Janeiro,1
2016,Trim 1,janeiro,9,HL1006,284,Rio de Janeiro,2
2016,Trim 1,janeiro,9,HL1006,683,São Paulo,4
2016,Trim 1,janeiro,9,HL1009,89,Goiânia,2
2016,Trim 1,janeiro,9,HL1012,261,São Paulo,1
2016,Trim 1,janeiro,9,HL1013,269,Fortaleza,4
2016,Trim 1,janeiro,9,HL1013,27,Recife,4
2016,Trim 1,janeiro,9,HL1013,694,Rio de Janeiro,2
2016,Trim 1,janeiro,9,HL1015,627,Nova Iguaçu,4
2016,Trim 1,janeiro,9,HL1015,814,Recife,5
2016,Trim 1,janeiro,9,HL1015,800,Salvador,1
2016,Trim 1,janeiro,9,HL1017,342,Recife,1
2016,Trim 1,janeiro,9,HL1018,761,Salvador,5
2016,Trim 1,janeiro,9,HL1018,104,São Paulo,5
2016,Trim 1,janeiro,9,HL1021,224,São Paulo,5
2016,Trim 1,janeiro,9,HL1023,148,Rio de Janeiro,2
2016,Trim 1,janeiro,10,HL1001,423,Campinas,5
2016,Trim 1,janeiro,10,HL1001,540,São Paulo,1
2016,Trim 1,janeiro,10,HL1002,408,São Paulo,1
2016,Trim 1,janeiro,10,HL1005,572,Rio de Janeiro,4
2016,Trim 1,janeiro,10,HL1007,703,Fortaleza,4
2016,Trim 1,janeiro,10,HL1007,297,Recife,5
2016,Trim 1,janeiro,10,HL1007,908,São Paulo,6
2016,Trim 1,janeiro,10,HL1009,541,São Paulo,2
2016,Trim 1,janeiro,10,HL1010,224,São Paulo,1
2016,Trim 1,janeiro,10,HL1011,331,Rio de Janeiro,5
2016,Trim 1,janeiro,10,HL1012,396,Salvador,2
2016,Trim 1,janeiro,10,HL1013,167,Guarulhos,5
2016,Trim 1,janeiro,10,HL1013,355,Nova Iguaçu,2
2016,Trim 1,janeiro,10,HL1013,104,São Paulo,3
2016,Trim 1,janeiro,10,HL1015,135,Niterói,2
2016,Trim 1,janeiro,10,HL1015,310,São Paulo,4
2016,Trim 1,janeiro,10,HL1019,170,Salvador,3
2016,Trim 1,janeiro,10,HL1020,171,Fortaleza,3
2016,Trim 1,janeiro,11,HL1001,180,Belo Horizonte,3
2016,Trim 1,janeiro,11,HL1001,780,Porto Alegre,3
2016,Trim 1,janeiro,11,HL1002,224,São Paulo,2
2016,Trim 1,janeiro,11,HL1004,312,São Paulo,3
2016,Trim 1,janeiro,11,HL1005,728,São Paulo,2
2016,Trim 1,janeiro,11,HL1007,52,Rio de Janeiro,3
2016,Trim 1,janeiro,11,HL1008,506,Belo Horizonte,4
2016,Trim 1,janeiro,11,HL1008,312,São Paulo,3
2016,Trim 1,janeiro,11,HL1013,537,Rio de Janeiro,3
2016,Trim 1,janeiro,11,HL1013,482,Salvador,2
2016,Trim 1,janeiro,11,HL1015,70,Recife,4
2016,Trim 1,janeiro,11,HL1015,675,Salvador,3
2016,Trim 1,janeiro,11,HL1020,363,São Paulo,6
2016,Trim 1,janeiro,11,HL1021,741,Curitiba,2
2016,Trim 1,janeiro,11,HL1021,709,São Paulo,6
2016,Trim 1,janeiro,11,HL1023,80,Belo Horizonte,3
2016,Trim 1,janeiro,11,HL1024,264,Salvador,3
2016,Trim 1,janeiro,12,HL1001,123,Belo Horizonte,5
2016,Trim 1,janeiro,12,HL1001,563,Campinas,2
2016,Trim 1,janeiro,12,HL1001,802,Fortaleza,5
2016,Trim 1,janeiro,12,HL1002,261,São Paulo,1
2016,Trim 1,janeiro,12,HL1004,209,São Paulo,2
2016,Trim 1,janeiro,12,HL1008,499,Rio de Janeiro,5
2016,Trim 1,janeiro,12,HL1008,202,São Paulo,3
2016,Trim 1,janeiro,12,HL1009,99,Rio de Janeiro,5
2016,Trim 1,janeiro,12,HL1013,156,Salvador,2
2016,Trim 1,janeiro,12,HL1019,315,Goiânia,2
2016,Trim 1,janeiro,12,HL1021,313,Belo Horizonte,1
2016,Trim 1,janeiro,12,HL1021,3,Rio de Janeiro,4
2016,Trim 1,janeiro,12,HL1023,448,Salvador,2
2016,Trim 1,janeiro,12,HL1023,105,São Paulo,4
2016,Trim 1,janeiro,13,HL1001,85,Curitiba,2
2016,Trim 1,janeiro,13,HL1001,158,Recife,1
2016,Trim 1,janeiro,13,HL1002,156,Salvador,2
2016,Trim 1,janeiro,13,HL1005,609,Fortaleza,4
2016,Trim 1,janeiro,13,HL1005,158,Recife,1
2016,Trim 1,janeiro,13,HL1005,534,Salvador,5
2016,Trim 1,janeiro,13,HL1007,360,Porto Alegre,2
2016,Trim 1,janeiro,13,HL1008,861,Fortaleza,8
2016,Trim 1,janeiro,13,HL1008,232,Salvador,2
2016,Trim 1,janeiro,13,HL1009,412,Curitiba,1
2016,Trim 1,janeiro,13,HL1009,32,Recife,3
2016,Trim 1,janeiro,13,HL1009,326,Rio de Janeiro,4
2016,Trim 1,janeiro,13,HL1012,147,Goiânia,3
2016,Trim 1,janeiro,13,HL1014,625,Rio de Janeiro,1
2016,Trim 1,janeiro,13,HL1015,242,Guarulhos,3
2016,Trim 1,janeiro,13,HL1018,316,São Paulo,4
2016,Trim 1,janeiro,13,HL1019,377,Rio de Janeiro,2
2016,Trim 1,janeiro,13,HL1020,16,Salvador,5
2016,Trim 1,janeiro,13,HL1021,770,Campinas,2
2016,Trim 1,janeiro,13,HL1021,609,Fortaleza,2
2016,Trim 1,janeiro,13,HL1021,236,Niterói,3
2016,Trim 1,janeiro,13,HL1023,839,Salvador,8
2016,Trim 1,janeiro,13,HL1024,408,São Paulo,4
2016,Trim 1,janeiro,14,HL1001,309,Campinas,3
2016,Trim 1,janeiro,14,HL1001,575,Nova Iguaçu,1
2016,Trim 1,janeiro,14,HL1001,312,São Paulo,2
2016,Trim 1,janeiro,14,HL1002,254,Recife,2
2016,Trim 1,janeiro,14,HL1002,29,Rio de Janeiro,1
2016,Trim 1,janeiro,14,HL1003,70,Recife,2
2016,Trim 1,janeiro,14,HL1005,641,São Paulo,2
2016,Trim 1,janeiro,14,HL1010,57,São Paulo,4
2016,Trim 1,janeiro,14,HL1012,549,Niterói,1
2016,Trim 1,janeiro,14,HL1013,195,Rio de Janeiro,2
2016,Trim 1,janeiro,14,HL1015,817,Rio de Janeiro,4
2016,Trim 1,janeiro,14,HL1015,369,São Paulo,4
2016,Trim 1,janeiro,14,HL1018,55,São Paulo,3
2016,Trim 1,janeiro,14,HL1021,555,Recife,4
2016,Trim 1,janeiro,14,HL1021,3,Rio de Janeiro,1
2016,Trim 1,janeiro,14,HL1023,240,Curitiba,1
2016,Trim 1,janeiro,14,HL1024,501,Guarulhos,2
2016,Trim 1,janeiro,14,HL1024,448,Salvador,5
2016,Trim 1,janeiro,15,HL1001,22,Curitiba,5
2016,Trim 1,janeiro,15,HL1001,286,Fortaleza,2
2016,Trim 1,janeiro,15,HL1001,692,Salvador,4
2016,Trim 1,janeiro,15,HL1001,261,São Paulo,1
2016,Trim 1,janeiro,15,HL1004,185,Guarulhos,3
2016,Trim 1,janeiro,15,HL1005,407,Rio de Janeiro,3
2016,Trim 1,janeiro,15,HL1007,712,Salvador,5
2016,Trim 1,janeiro,15,HL1008,503,Fortaleza,3
2016,Trim 1,janeiro,15,HL1009,619,Curitiba,2
2016,Trim 1,janeiro,15,HL1009,657,Fortaleza,3
2016,Trim 1,janeiro,15,HL1009,44,Rio de Janeiro,5
2016,Trim 1,janeiro,15,HL1009,49,São Paulo,5
2016,Trim 1,janeiro,15,HL1010,652,Rio de Janeiro,2
2016,Trim 1,janeiro,15,HL1013,776,São Paulo,2
2016,Trim 1,janeiro,15,HL1014,41,Guarulhos,3
2016,Trim 1,janeiro,15,HL1015,697,Fortaleza,4
2016,Trim 1,janeiro,15,HL1015,809,Niterói,5
2016,Trim 1,janeiro,15,HL1015,1019,São Paulo,8
2016,Trim 1,janeiro,15,HL1019,86,Campinas,2
2016,Trim 1,janeiro,15,HL1021,456,Belo Horizonte,5
2016,Trim 1,janeiro,15,HL1021,218,Porto Alegre,5
2016,Trim 1,janeiro,15,HL1022,405,Rio de Janeiro,5
2016,Trim 1,janeiro,15,HL1023,82,Salvador,4
2016,Trim 1,janeiro,15,HL1024,735,Fortaleza,1
2016,Trim 1,janeiro,16,HL1001,421,Belo Horizonte,3
2016,Trim 1,janeiro,16,HL1001,195,Rio de Janeiro,2
2016,Trim 1,janeiro,16,HL1001,111,São Paulo,1
2016,Trim 1,janeiro,16,HL1003,351,Goiânia,1
2016,Trim 1,janeiro,16,HL1005,804,Rio de Janeiro,3
2016,Trim 1,janeiro,16,HL1005,224,São Paulo,2
2016,Trim 1,janeiro,16,HL1007,641,São Paulo,3
2016,Trim 1,janeiro,16,HL1009,565,Fortaleza,1
2016,Trim 1,janeiro,16,HL1009,1327,Recife,6
2016,Trim 1,janeiro,16,HL1009,285,Salvador,4
2016,Trim 1,janeiro,16,HL1009,105,São Paulo,1
2016,Trim 1,janeiro,16,HL1013,319,São Paulo,1
2016,Trim 1,janeiro,16,HL1015,672,Recife,1
2016,Trim 1,janeiro,16,HL1016,482,Salvador,4
2016,Trim 1,janeiro,16,HL1018,816,Porto Alegre,2
2016,Trim 1,janeiro,16,HL1020,36,Campinas,3
2016,Trim 1,janeiro,16,HL1020,761,Salvador,1
2016,Trim 1,janeiro,17,HL1001,193,Belo Horizonte,5
2016,Trim 1,janeiro,17,HL1001,160,São Paulo,5
2016,Trim 1,janeiro,17,HL1005,508,Belo Horizonte,2
2016,Trim 1,janeiro,17,HL1005,318,Guarulhos,3
2016,Trim 1,janeiro,17,HL1006,643,Curitiba,4
2016,Trim 1,janeiro,17,HL1007,812,Curitiba,5
2016,Trim 1,janeiro,17,HL1007,395,São Paulo,7
2016,Trim 1,janeiro,17,HL1009,628,São Paulo,6
2016,Trim 1,janeiro,17,HL1015,154,Belo Horizonte,1
2016,Trim 1,janeiro,17,HL1015,60,Curitiba,1
2016,Trim 1,janeiro,17,HL1015,307,Nova Iguaçu,1
2016,Trim 1,janeiro,17,HL1021,105,São Paulo,1
2016,Trim 1,janeiro,17,HL1023,480,Fortaleza,3
2016,Trim 1,janeiro,17,HL1024,790,Salvador,3
2016,Trim 1,janeiro,18,HL1001,288,Fortaleza,3
2016,Trim 1,janeiro,18,HL1001,414,Goiânia,5
2016,Trim 1,janeiro,18,HL1001,1482,Rio de Janeiro,5
2016,Trim 1,janeiro,18,HL1001,641,São Paulo,2
2016,Trim 1,janeiro,18,HL1002,783,Belo Horizonte,5
2016,Trim 1,janeiro,18,HL1002,320,São Paulo,4
2016,Trim 1,janeiro,18,HL1003,601,Fortaleza,2
2016,Trim 1,janeiro,18,HL1006,193,Belo Horizonte,1
2016,Trim 1,janeiro,18,HL1006,63,Curitiba,1
2016,Trim 1,janeiro,18,HL1007,103,Goiânia,5
2016,Trim 1,janeiro,18,HL1008,601,Fortaleza,2
2016,Trim 1,janeiro,18,HL1008,682,Goiânia,3
2016,Trim 1,janeiro,18,HL1008,390,Niterói,1
2016,Trim 1,janeiro,18,HL1008,712,Salvador,4
2016,Trim 1,janeiro,18,HL1009,409,Belo Horizonte,5
2016,Trim 1,janeiro,18,HL1009,243,Campinas,5
2016,Trim 1,janeiro,18,HL1009,799,Salvador,4
2016,Trim 1,janeiro,18,HL1012,772,São Paulo,5
2016,Trim 1,janeiro,18,HL1013,70,Recife,3
2016,Trim 1,janeiro,18,HL1013,437,Salvador,1
2016,Trim 1,janeiro,18,HL1017,354,Fortaleza,3
2016,Trim 1,janeiro,18,HL1021,599,Fortaleza,4
2016,Trim 1,janeiro,18,HL1021,325,Rio de Janeiro,5
2016,Trim 1,janeiro,18,HL1023,468,Fortaleza,4
2016,Trim 1,janeiro,18,HL1023,572,Rio de Janeiro,5
2016,Trim 1,janeiro,18,HL1023,209,São Paulo,3
2016,Trim 1,janeiro,19,HL1001,611,Belo Horizonte,4
2016,Trim 1,janeiro,19,HL1002,66,Curitiba,2
2016,Trim 1,janeiro,19,HL1002,746,Porto Alegre,3
2016,Trim 1,janeiro,19,HL1005,614,Goiânia,1
2016,Trim 1,janeiro,19,HL1007,385,Belo Horizonte,2
2016,Trim 1,janeiro,19,HL1008,548,Guarulhos,2
2016,Trim 1,janeiro,19,HL1011,292,Fortaleza,1
2016,Trim 1,janeiro,19,HL1011,675,Salvador,5
2016,Trim 1,janeiro,19,HL1013,288,Fortaleza,3
2016,Trim 1,janeiro,19,HL1013,551,Salvador,4
2016,Trim 1,janeiro,19,HL1015,698,São Paulo,4
2016,Trim 1,janeiro,19,HL1019,647,Nova Iguaçu,4
2016,Trim 1,janeiro,19,HL1020,259,Rio de Janeiro,1
2016,Trim 1,janeiro,19,HL1021,162,Goiânia,1
2016,Trim 1,janeiro,19,HL1024,23,Belo Horizonte,3
2016,Trim 1,janeiro,19,HL1024,109,Salvador,5
2016,Trim 1,janeiro,20,HL1002,609,São Paulo,8
2016,Trim 1,janeiro,20,HL1005,622,Fortaleza,2
2016,Trim 1,janeiro,20,HL1005,304,Recife,4
2016,Trim 1,janeiro,20,HL1007,589,Rio de Janeiro,4
2016,Trim 1,janeiro,20,HL1008,96,Campinas,1
2016,Trim 1,janeiro,20,HL1009,180,Belo Horizonte,5
2016,Trim 1,janeiro,20,HL1009,323,Recife,8
2016,Trim 1,janeiro,20,HL1012,368,Rio de Janeiro,5
2016,Trim 1,janeiro,20,HL1014,675,Salvador,3
2016,Trim 1,janeiro,20,HL1017,140,São Paulo,2
2016,Trim 1,janeiro,20,HL1018,436,Porto Alegre,1
2016,Trim 1,janeiro,20,HL1019,419,Curitiba,4
2016,Trim 1,janeiro,20,HL1020,37,Guarulhos,4
2016,Trim 1,janeiro,21,HL1001,705,Curitiba,1
2016,Trim 1,janeiro,21,HL1001,503,Fortaleza,1
2016,Trim 1,janeiro,21,HL1001,310,São Paulo,1
2016,Trim 1,janeiro,21,HL1002,755,Campinas,4
2016,Trim 1,janeiro,21,HL1005,694,Rio de Janeiro,3
2016,Trim 1,janeiro,21,HL1006,144,Recife,2
2016,Trim 1,janeiro,21,HL1008,441,Belo Horizonte,3
2016,Trim 1,janeiro,21,HL1008,171,Fortaleza,4
2016,Trim 1,janeiro,21,HL1008,3,Rio de Janeiro,4
2016,Trim 1,janeiro,21,HL1009,547,Recife,4
2016,Trim 1,janeiro,21,HL1010,489,Porto Alegre,1
2016,Trim 1,janeiro,21,HL1013,665,São Paulo,2
2016,Trim 1,janeiro,21,HL1015,566,Recife,5
2016,Trim 1,janeiro,21,HL1017,571,Rio de Janeiro,2
2016,Trim 1,janeiro,21,HL1018,881,São Paulo,4
2016,Trim 1,janeiro,21,HL1019,26,Guarulhos,3
2016,Trim 1,janeiro,21,HL1019,644,Porto Alegre,4
2016,Trim 1,janeiro,21,HL1019,653,Recife,1
2016,Trim 1,janeiro,21,HL1021,214,Guarulhos,3
2016,Trim 1,janeiro,21,HL1023,525,Porto Alegre,4
2016,Trim 1,janeiro,22,HL1001,71,Niterói,1
2016,Trim 1,janeiro,22,HL1001,558,Rio de Janeiro,5
2016,Trim 1,janeiro,22,HL1001,49,São Paulo,5
2016,Trim 1,janeiro,22,HL1002,193,Belo Horizonte,3
2016,Trim 1,janeiro,22,HL1003,499,Rio de Janeiro,2
2016,Trim 1,janeiro,22,HL1006,111,São Paulo,2
2016,Trim 1,janeiro,22,HL1009,219,Recife,5
2016,Trim 1,janeiro,22,HL1009,105,São Paulo,5
2016,Trim 1,janeiro,22,HL1011,665,São Paulo,2
2016,Trim 1,janeiro,22,HL1013,817,Rio de Janeiro,5
2016,Trim 1,janeiro,22,HL1014,492,Rio de Janeiro,5
2016,Trim 1,janeiro,22,HL1015,349,Goiânia,4
2016,Trim 1,janeiro,22,HL1017,55,São Paulo,4
2016,Trim 1,janeiro,22,HL1019,714,Curitiba,5
2016,Trim 1,janeiro,22,HL1020,203,Porto Alegre,2
2016,Trim 1,janeiro,22,HL1021,252,Salvador,3
2016,Trim 1,janeiro,22,HL1023,594,Salvador,3
2016,Trim 1,janeiro,22,HL1024,193,Belo Horizonte,1
2016,Trim 1,janeiro,22,HL1024,552,Campinas,5
